REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
3801788/70001TYJ;3801702 3051384 3022479 3022474 PAI-181807;BOMBA DE AGUA MOTOR CUMMINS NH855 T350;BOMBA DE AGUA MOTOR CUMMINS NH855 T350;T&J;T&J;T&J;MOTOR;13,00;$ 354.502,00
A1205X2806;REF NATIONAL 370047;RETENEDOR RUEDA TRAS AGRALE MS 15-124. MS 230;RETENEDOR RUEDA TRAS AGRALE MS 15-124. MS 230;MERITOR;MERITOR;MERITOR;DIFERENCIAL;46,00;$ 117.471,00
MKT4709ES2N;0;KIT DE REPARACION RODAJAS Y RESORTES DE FRENO TRASER (CON BLOQUES DE FRENO 4720);KIT DE REPARACION RODAJAS Y RESORTES DE FRENO TRASER (CON BLOQUES DE FRENO 4720);MERITOR;MERITOR;MERITOR;DIFERENCIAL;152,00;$ 33.500,00
223-3569CLE/8N0701;1810049C1;BUJES DE BIELA RECTO INTERNATIONAL DT360/ MOTOR 8.2 PINCHER/ CAT 3208. VENDER MULT 6 (OEM ALTERNO 671825C4);BUJES DE BIELA RECTO INTERNATIONAL DT360/ MOTOR 8.2 PINCHER/ CAT 3208. VENDER MULT 6 (OEM ALTERNO 671825C4);CLEVITE;MAHLE;CLEVITE;MOTOR;252,00;$ 18.264,00
4303825;0;PIÑON CENTRAL CAJA AUTOMATIZADA FO-16E318B USA PIÑA 691934;PIÑON CENTRAL CAJA AUTOMATIZADA FO-16E318B USA PIÑA 691934;FULLER;FULLER;FULLER;TRANSMISION;11,00;$ 492.555,00
2B14-354/7136GY;2B14-354 7136 7136/SP557136;"BOLSA SUSPENSION SIN ESPARRAGOS TIPO HAMBURGUESA 11.31""";"BOLSA SUSPENSION SIN ESPARRAGOS TIPO HAMBURGUESA 11.31""";GOODYEAR;GOODYEAR;GOODYEAR;SUSPENSION;8,00;$ 610.921,00
3315737;0;CANASTILLA PIÑON 4TA CORREDIZO FS6305 / 6406;CANASTILLA PIÑON 4TA CORREDIZO FS6305 / 6406;FULLER;FULLER;FULLER;TRANSMISION;63,00;$ 83.209,00
2234F890;0;PLANETARIO EJE DE SALIDA S18;PLANETARIO EJE DE SALIDA S18;MERITOR;MERITOR;MERITOR;DIFERENCIAL;4,00;$ 1.404.036,00
21322/EF61960EXC;21322 21322TAS;PIÑÓN CENTRAL 8908LL/11708LL;PIÑÓN CENTRAL 8908LL/11708LL;EXCEL;PAI;PAI;MOTOR;16,00;$ 306.325,00
20490;0;PIVOTE VÁLVULA ESCLAVA A-5000;PIVOTE VÁLVULA ESCLAVA A-5000;FULLER;FULLER;FULLER;TRANSMISION;158,00;$ 33.700,00
8PK2020HD;0;CORREA VENTILADOR - INTERNATIONAL PROSTAR MOD.11-13 MOTOR CUMMINS, DODGE RAM 6500 MEXICANA, FORD LOBO MOTOR 4.6 V8 MOD 98 S/A/A MERCEDEZ OH, VOLKSWAGEN 6CT 8 CANALES;CORREA VENTILADOR - INTERNATIONAL PROSTAR MOD.11-13 MOTOR CUMMINS, DODGE RAM 6500 MEXICANA, FORD LOBO MOTOR 4.6 V8 MOD 98 S/A/A MERCEDEZ OH, VOLKSWAGEN 6CT 8 CANALES;DAYCO;DAYCO;DAYCO;MOTOR;74,00;$ 64.729,00
1229V4624/9764;#N/D;ARANDELA PLANETARIO S 145 CON LUBRICACION;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;170,00;#N/D
SPL140XDANA;#N/D;CRUCETA CARDAN SPL140 DADO A DADO 138,8MM / DIAMETRO DADO 49,2MM (VIENE CON 4 TORNILLOS DE LAS CHABETAS - 2 PLATINAS Y 4 TORNILLOS DE LOS DADOS);#N/D;SPICER;DANA;DANA;DIFERENCIAL;13,00;#N/D
448-4836M;0;"KIT TUERCA CACHO (JUEGO X4) (1227B106 ;1229F474/G/U) KW T800 ROSCA ORDINARIA";"KIT TUERCA CACHO (JUEGO X4) (1227B106 ;1229F474/G/U) KW T800 ROSCA ORDINARIA";MERITOR;MERITOR;MERITOR;DIFERENCIAL;51,00;$ 102.018,00
K3355;0;KIT RODAMIENTO RTLO 14918;KIT RODAMIENTO RTLO 14918;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 3.095.885,00
PAI842070/71;PAI 842070;GUIA DE VALVULAS ADMISION Y ESCAPE MP8 USA 24 X MOTOR (D13);GUIA DE VALVULAS ADMISION Y ESCAPE MP8 USA 24 X MOTOR (D13);PAI;PAI;PAI;MOTOR;242,00;$ 22.803,00
4955590/131639PAI;CS547751/4955590 CLE;EMPAQUETADURA INFERIOR CUMMINS ISX;EMPAQUETADURA INFERIOR CUMMINS ISX;PAI;PAI;PAI;MOTOR;3,00;$ 1.413.043,00
CB1836-STDCLE/23526142;0;"CASQUETE BIELA STD DDECIV (4) DETROIT SERIE 60 (JGOX2 UND) (USA 6 JUEGO X MOTOR)
- COMPAÑERA BANCADA:
• MS2093";"CASQUETE BIELA STD DDECIV (4) DETROIT SERIE 60 (JGOX2 UND) (USA 6 JUEGO X MOTOR)
- COMPAÑERA BANCADA:
• MS2093";CLEVITE;MAHLE;CLEVITE;MOTOR;66,00;$ 81.635,00
3533795C91ELG;3534115C91;BRAZO DE DIRECCIÓN PARA INTERNATIONAL 4300 Y 4400 (= 3534115C9);BRAZO DE DIRECCIÓN PARA INTERNATIONAL 4300 Y 4400 (= 3534115C9);ELGIN;ELGIN;ELGIN;MOTOR;12,00;$ 364.211,00
ZF8333010;#N/D;0;#N/D;ZF;ZF;ZF;TRANSMISION;6,00;#N/D
8880741/ES11109;0;HINO PIÑON DE 3RA TREN FIJO ES11109 32T FS-8209A;HINO PIÑON DE 3ERA TREN FIJO PARA TRANSMISIÓN ES11109 PARA ISUZU FVR Y FVZ E HINO 500, ESTA INCLUIDO EN EL TREN FIJO COMPLETO U8880746.;FULLER;FULLER;FULLER;TRANSMISION;7,00;$ 704.314,00
4026884/131648 PAI;4026884;EMPAQUE MONTAJE DEL TURBO ISX;EMPAQUE MONTAJE DEL TURBO ISX;PAI;PAI;PAI;MOTOR;273,00;$ 17.762,00
PAI841925;0;BOMBA ACEITE MP8;BOMBA ACEITE MP8;PAI;PAI;PAI;MOTOR;4,00;$ 1.259.910,00
HF6720;0;FILTRO HIDRAULICO DE TODAS LAS VOLQUETAS DE MARCA PARKER;FILTRO HIDRAULICO DE TODAS LAS VOLQUETAS DE MARCA PARKER;FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;50,00;$ 96.367,00
4300121;0;RETEN EJE DE TOMA 6305;RETEN EJE DE TOMA 6305;FULLER;FULLER;FULLER;TRANSMISION;194,00;$ 24.016,00
20RYSM4047;0;"ESPIGO COMPLETO CON OREJA DE 16E L:13,45"" PARA CRUCETA 20RPL11/CP20RPLS COMPAÑERO DE LA BOTELLA 20RLS403A1S APLICACIÓN NEW CASCADIA";"ESPIGO COMPLETO CON OREJA DE 16E L:13,45"" PARA CRUCETA 20RPL11/CP20RPLS COMPAÑERO DE LA BOTELLA 20RLS403A1S APLICACIÓN NEW CASCADIA";MERITOR;MERITOR;MERITOR;DIFERENCIAL;3,00;$ 1.762.831,00
3930338/141297PAI;3800828 3286277 141297E;BOMBA DE ACEITE 6CT CUMMINS;BOMBA DE ACEITE 6CT CUMMINS;PAI;PAI;PAI;MOTOR;15,00;$ 315.504,00
SET131042/48;#N/D;SET RODAMIENTO DISP. NP 190/170;#N/D;TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;5,00;#N/D
4301763;4301763TAS 4301763WAP;PIÑON 1RA CORREDIZO FS-6305A 45T;PIÑON 1RA CORREDIZO FS-6305A 45T;FULLER;FULLER;FULLER;TRANSMISION;5,00;NO VTA LIC
6222084 001/FL120;#N/D;BOLSA SUSPENSION SILLA BOSTROM BAJITA M2-106;#N/D;BOSTROM;CVG;CVG;VARIOS;44,00;#N/D
3341283;0;SINCRONIZADOR 1RA Y 2DA FSO4305C;SINCRONIZADOR 1RA Y 2DA FSO4305C;FULLER;FULLER;FULLER;TRANSMISION;5,00;$ 994.600,00
ZF4304683;0;ANILLO BRONCE SINCRONIZADOR 3/4 MARCHA PARA CAJA ESPECIAL ISUZU FVR 9S 109 VENE;ANILLO BRONCE SINCRONIZADOR 3/4 MARCHA PARA CAJA ESPECIAL ISUZU FVR 9S 109 VENE;ZF;ZF;ZF;TRANSMISION;8,00;$ 787.952,00
PAI801124;996750932-001;"VENTILADOR MOTOR MACK MP8 29""X10""X11 ASPAS (OEM 85111558)";"VENTILADOR MOTOR MACK MP8 29""X10""X11 ASPAS (OEM 85111558)";PAI;PAI;PAI;MOTOR;3,00;$ 1.627.890,00
PAI8429;0;EMPAQUE CULATA E7 MECANICO;EMPAQUE CULATA E7 MECANICO;PAI;PAI;PAI;MOTOR;40,00;$ 113.017,00
4921475/050661PAI;"4921475-MCBEE
4921475";SENSOR PRESION ACEITE MOTOR ISX;SENSOR PRESION ACEITE MOTOR ISX;PAI;PAI;PAI;MOTOR;10,00;$ 455.197,00
4301485WAP;0;"EJE DE TOMA 1 3/4"" FS6406A//FC1721 (24 DIENTES)";"EJE DE TOMA 1 3/4"" FS6406A//FC1721 (24 DIENTES)";WAP;WAP;WAP;RODAMIENTO;16,00;$ 438.749,00
M21504-0,25MAH/MS1740;3802211;CASQUETERIA BANCADA CUMM 6CT - ISC JUEGO COMPLETO (14 UNIDADES) APLICA PARA PISTON 3917707-3925878;CASQUETERIA BANCADA CUMM 6CT - ISC JUEGO COMPLETO (14 UNIDADES) APLICA PARA PISTON 3917707-3925878;MAHLE;MAHLE;MAHLE;MOTOR;18,00;$ 274.268,00
3400811/060088PAI;0;TAPA TIPO ESPEJO DE REPARTICION PARA MOTOR CUMMINS ISM (2 HUECOS) VIENE SOLO LA TAPA 3400811 = 060088;TAPA TIPO ESPEJO DE REPARTICION PARA MOTOR CUMMINS ISM (2 HUECOS) VIENE SOLO LA TAPA 3400811 = 060088;PAI;PAI;PAI;MOTOR;18,00;$ 296.422,00
5005362;0;JUEGO DE ANILLOS EN 010 PARA COMPRESOR TUFLO 550 Y 750 (INCLUYE JUEGO PARA 2 PISTONES);JUEGO DE ANILLOS EN 010 PARA COMPRESOR TUFLO 550 Y 750 (INCLUYE JUEGO PARA 2 PISTONES);BENDIX;BENDIX;BENDIX;VARIOS;29,00;$ 155.802,00
A5674/K23024;#N/D;TORRE 8709B;#N/D;FULLER;FULLER;FULLER;TRANSMISION;4,00;#N/D
8-9704709-20WAP;0;CORONA SPEED TRAS 6X41 IZUSU NPR MOD. NUEVO;CORONA SPEED TRAS 6X41 IZUSU NPR MOD. NUEVO;WAP;WAP;WAP;CARDAN;8,00;$ 641.304,00
VAD7000 801 101;0;PISTON-ANILLOS COMPRESOR/KNORR FORD CARG 80 MM , 0.25 KNORR-BREMSE;PISTON-ANILLOS COMPRESOR/KNORR FORD CARG 80 MM , 0.25 KNORR-BREMSE;VADEN;VADEN;VADEN;AIRE;41,00;$ 110.245,00
PAI8012G-554/S;#N/D;OVERHAUL MACK E6 CAMISA 006 ESL-8280 + CASQUETERIA P10 KIT DE MOTOR ELK-8904- PISTON CON BULON Y PINES 57GC283A + JUEGO 4-ANILLOS EPR-1810C = 353GC241BP1 + CASQUETERIA BIELA P10 8330 + BANCADA-8575 CON MEDIA LUNAS + EMPAQUETADURA SUPERIOR EGS-3899 + EMPAQUE CARTER +353GC241BP1= 579GB412A + TERMOSTATOS (2) ETK-3299 = 215SB169A;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;1,00;#N/D
WF2077;0;FILTRO AGUA PARA FREIGHTLINER CON MOTORES B6,7 - L9;FILTRO AGUA PARA FREIGHTLINER CON MOTORES B6,7 - L9;FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;84,00;$ 55.947,00
286171R;0;VALVULA DE FRENO E-6 PARA CHEVROLET Y BRIGADIER (REMANUFACTURADA COLOR AZUL) ;VALVULA DE FRENO E-6 PARA CHEVROLET Y BRIGADIER (REMANUFACTURADA COLOR AZUL) ;BENDIX;BENDIX;BENDIX;FRENO;16,00;$ 252.270,00
PAI8572-STD;0;CASQUETE BANCADA E7 TODAS;CASQUETE BANCADA E7 TODAS;PAI;PAI;PAI;MOTOR;6,00;$ 827.341,00
4302259;0;ARANDELA CORREDIZO REVERSA FRO 11210 C (USA 1 X CAJA);ARANDELA CORREDIZO REVERSA FRO 11210 C (USA 1 X CAJA);FULLER;FULLER;FULLER;TRANSMISION;62,00;$ 71.342,00
250-4-271-1RWAP;0;"YOKE KJA 54E S5 45/64"" Q 2 3/4"" KJA 16915/16918 SERIE 160 CRUC SPL250";"YOKE KJA 54E S5 45/64"" Q 2 3/4"" KJA 16915/16918 SERIE 160 CRUC SPL250";WAP;WAP;WAP;DIFERENCIAL;14,00;$ 357.518,00
3575181;0;EMPAQUETADURA DEL TURBO CUMMINS ISX;EMPAQUETADURA DEL TURBO CUMMINS ISX;HOLSET;USA;USA;VARIOS;11,00;$ 371.507,00
79A8228;99A8228;"FANCLUTCH REMANUF 2 TIEMPOS 8 CANALES MANZANA 5""";"FANCLUTCH REMANUF 2 TIEMPOS 8 CANALES MANZANA 5""";HORTON;HORTON;HORTON;AIRE;1,00;$ 4.587.701,00
18-59922/360.207MANS;0;SOPORTE DELANTERO CABINA CL 120;SOPORTE DELANTERO CABINA CL 120;MANSONS;MANSONS;MANSONS;SUSPENSION;28,00;$ 164.611,00
SET419FERSA;0;SET RODILLO Y PISTA (H715343/H715311) INTERNO DEL SPEED 160 DELANTERO;SET RODILLO Y PISTA (H715343/H715311) INTERNO DEL SPEED 160 DELANTERO;FERSA;FERSA;FERSA;RODAMIENTO;40,00;$ 129.426,00
4304438;0;HORQUILLA 4TA Y 5TA FRO 11210C;HORQUILLA 4TA Y 5TA FRO 11210C;FULLER;FULLER;FULLER;TRANSMISION;38,00;$ 127.245,00
1818580C1;0;VALVULA ADMISION INTERNATIONAL DT466 (VALVULA ESCAPE 1824838C);VALVULA ADMISION INTERNATIONAL DT466 (VALVULA ESCAPE 1824838C);INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;36,00;$ 135.217,00
R824007;0;"RACHE FRENO MEC.1-5/8""-37E";"RACHE FRENO MEC.1-5/8""-37E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;54,00;$ 94.196,00
680117C3/451490PAI;SH994S/680117;BUJES DE LEVAS COBRIZADO DT466/408/360 JGOX4 (JUEGO DEL ÁRBOL DE LEVAS);BUJES DE LEVAS COBRIZADO DT466/408/360 JGOX4 (JUEGO DEL ÁRBOL DE LEVAS);PAI;PAI;PAI;MOTOR;45,00;$ 96.739,00
4303118/19/K3262;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;8,00;#N/D
3628699C1;"N83202504815 SD7H15 S-19047 FTL4815Q
";COMPRESOR DE AIRE ACONDICIONADO DE INTERNATIONAL 6 CANALES TIPO NUEVO;COMPRESOR DE AIRE ACONDICIONADO DE INTERNATIONAL 6 CANALES TIPO NUEVO;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;3,00;$ 2.029.162,00
VAD303.01.0008.04;WAB9730110002;KIT REPARACION VALV RELAY WABCO 97300110002 PARA VALVULA RALAY 973011 0180 Y 973011… VOLVO-SCANIA M.B VOLKSWAGEN;KIT REPARACION VALV RELAY WABCO 97300110002 PARA VALVULA RALAY 973011 0180 Y 973011… VOLVO-SCANIA M.B VOLKSWAGEN;VADEN;VADEN;VADEN;AIRE;190,00;$ 22.649,00
4304098;"4304098WAP
4304098TAS";PIÑON 4TA CORREDIZO 8406;PIÑON 4TA CORREDIZO 8406;FULLER;FULLER;FULLER;TRANSMISION;10,00;NO VTA LIC
104677-1;0;KIT EMBRAGUE 362MM PARA TUBO GUIA, VOLKSWAGEN DELIVERY CUMMINS 11-180, NO. ORIGINAL VW 23B198149;KIT EMBRAGUE 362MM PARA TUBO GUIA, VOLKSWAGEN DELIVERY CUMMINS 11-180, NO. ORIGINAL VW 23B198149;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 2.878.460,00
A6135/900105PAI;0;SINCRONIZADOR 1RA Y 2DA FS5306A, FS6306A;SINCRONIZADOR 1RA Y 2DA FS5306A, FS6306A;PAI;PAI;PAI;MOTOR;9,00;$ 533.098,00
4101884;0;DAMPER CIGÜEÑAL CUMMINS ISX;DAMPER CIGÜEÑAL CUMMINS ISX;CUMMINS;CUMMINS;CUMMINS;MOTOR;1,00;$ 4.313.909,00
3107B1094;0;COLLARIN ANTIPATINAJE 46160 VOLQUETA;COLLARIN ANTIPATINAJE 46160 VOLQUETA;MERITOR;MERITOR;MERITOR;DIFERENCIAL;19,00;$ 380.435,00
FS20202;DONALDSON P552020 WIX33792;"FILTRO SEPARADOR DE COMBUSTIBLE/AGUA PAEA FREIGHTLINER M11, L10; MACK MP7 (UNIDAD DE EMPAQUE X 12 UNIDADES) (10 MICRAS)";"FILTRO SEPARADOR DE COMBUSTIBLE/AGUA PAEA FREIGHTLINER M11, L10; MACK MP7 (UNIDAD DE EMPAQUE X 12 UNIDADES) (10 MICRAS)";FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;102,00;$ 47.739,00
21360;0;PIÑA TRIPLICADOR 14715-915/16915;PIÑA TRIPLICADOR 14715-915/16915;FULLER;FULLER;FULLER;TRANSMISION;35,00;$ 125.439,00
ZF5334008;0;BRONCE O PATIN O FIBRA DE HORQUILLA DEL RANGO O MONO USA DOBLE PASADOR PARA TODAS LAS 16S;BRONCE O PATIN O FIBRA DE HORQUILLA DEL RANGO O MONO USA DOBLE PASADOR PARA TODAS LAS 16S;ZF;ZF;ZF;TRANSMISION;78,00;$ 73.133,00
KIT4455;0;KIT SENSOR ANTIPATINAJE A LA CANASTA 46160;KIT SENSOR ANTIPATINAJE A LA CANASTA 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;20,00;$ 259.693,00
4304635/5873;4305873;PIÑÓN QUINTA CORREDIZO FR 9210;PIÑÓN QUINTA CORREDIZO FR 9210;FULLER;FULLER;FULLER;TRANSMISION;19,00;$ 283.798,00
1829802C1;0;MANGUERA BOMBA DE ALTA PRESION DT466E;MANGUERA BOMBA DE ALTA PRESION DT466E;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;31,00;$ 196.387,00
WAB9730110032;0;KIT EMPAQUETADURA MODULO ROMARCO;KIT EMPAQUETADURA MODULO ROMARCO;WABCO;WABCO;WABCO;AIRE;57,00;$ 85.166,00
4902789;0;EMPAQUE DEL ACTUADOR DE MEDICION DE COMBUSTIBLE ISX (USA 4 X MOTOR);EMPAQUE DEL ACTUADOR DE MEDICION DE COMBUSTIBLE ISX (USA 4 X MOTOR);CUMMINS;CUMMINS;CUMMINS;MOTOR;151,00;$ 26.757,00
PAI8027;0;BUJES DE BIELA E7 TODAS;BUJES DE BIELA E7 TODAS;PAI;PAI;PAI;MOTOR;72,00;$ 67.526,00
ZF0304202;0;MANGA DESPLAZABLE DEL SPLIT/BAJO 16S;MANGA DESPLAZABLE DEL SPLIT/BAJO 16S;ZF;ZF;ZF;TRANSMISION;13,00;$ 503.924,00
B399065;0;CORONA Y SPEED TRAS 11X41 S23-165;CORONA Y SPEED TRAS 11X41 S23-165;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1,00;$ 4.606.761,00
47550EXC;#N/D;0;#N/D;EXCEL;PAI;PAI;MOTOR;4,00;#N/D
SET423MER/802806;#N/D;SET RODILLO PISTA RUEDA 6461A/6420 COMPAÑERO SET424;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;19,00;#N/D
4303926;0;TAPA (REGULADOR) CILINDRO DEL MONO 16918 RTLO18913A;TAPA (REGULADOR) CILINDRO DEL MONO 16918 RTLO18913A;FULLER;FULLER;FULLER;TRANSMISION;12,00;$ 356.509,00
WF2127;"DONALDSON P550867 3680434
";FILTRO AGUA PARA MOTOR CUMMINS ISX: KW T800, INT-PROSTAR, INT-EAGLE 9400I;FILTRO AGUA PARA MOTOR CUMMINS ISX: KW T800, INT-PROSTAR, INT-EAGLE 9400I;FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;49,00;$ 96.136,00
ZF6304010;#N/D;0;#N/D;ZF;ZF;ZF;TRANSMISION;2,00;#N/D
3800637;3300639 3803311 3417779;VALVULA DE ESCAPE M11 L10 ISM (3417779 VALVULA ESCAPE + CUÑAS 3389248);VALVULA DE ESCAPE M11 L10 ISM (3417779 VALVULA ESCAPE + CUÑAS 3389248);CUMMINS;CUMMINS;CUMMINS;MOTOR;45,00;$ 93.845,00
FF5321;0;FILTRO SECUNDARIO COMBUSTIBLE KODIAK CON MOTORES 3126 FREIGHTLINER, FORD, KENWORTH CON MOTOR 3126, C7 (COMPAÑERO PRIMARIO FS19513);FILTRO SECUNDARIO COMBUSTIBLE KODIAK CON MOTORES 3126 FREIGHTLINER, FORD, KENWORTH CON MOTOR 3126, C7 (COMPAÑERO PRIMARIO FS19513);FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;102,00;$ 41.776,00
6309-NRSKF;#N/D;BALINERA SENCILLA 8 BALINES (LA 81022 ES REFORZADA FULLER CON 11 BALINES);#N/D;SKF;SKF;SKF;RODAMIENTO;30,00;#N/D
6-4-7771XWAP;0;"YOKE SP 46E S65000 Q2.344 R 3 1/4""/160 RET";"YOKE SP 46E S65000 Q2.344 R 3 1/4""/160 RET";WAP;WAP;WAP;RODAMIENTO;12,00;$ 400.404,00
ZF1324670;0;EMBOLO PISTON DEL BAJO 16S;EMBOLO PISTON DEL BAJO 16S;ZF;ZF;ZF;TRANSMISION;73,00;$ 85.074,00
4303359;0;EJE MONO 14915/16915;EJE MONO 14915/16915;FULLER;FULLER;FULLER;TRANSMISION;8,00;$ 597.108,00
104108-3;128756 DISCO ORGANICO;KIT EMBRAGUE 14X1 3/4 DISCO ORGANICO BUS INTERNATIONAL 3100;KIT EMBRAGUE 14X1 3/4 DISCO ORGANICO BUS INTERNATIONAL 3100;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 0,00
A41066-1;0;CORONA 6X41 TRAS 160 RADIO 6.83;CORONA 6X41 TRAS 160 RADIO 6.83;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1,00;$ 4.541.803,00
R006034;0;PERNO RIN DE DISCO 4-3/4;PERNO RIN DE DISCO 4-3/4;MERITOR;MERITOR;MERITOR;DIFERENCIAL;320,00;$ 11.060,00
PAI801131EXC;"(PAI801131EXC)
85124623/70007TYJ VAD0103 097";BOMBA DE AGUA MOTOR MP8 MACK GRANITE;BOMBA DE AGUA MOTOR MP8 MACK GRANITE;EXCEL;PAI;PAI;MOTOR;10,00;$ 461.816,00
4304540WAP;0;EJE DE TOMA 8406;EJE DE TOMA 8406;WAP;WAP;WAP;RODAMIENTO;9,00;$ 487.611,00
VAD8000 850 001;0;KIT REPARACION PISTON 85 MM + ANILLOS + BIELA M2 106 WABCO;KIT REPARACION PISTON 85 MM + ANILLOS + BIELA M2 106 WABCO;VADEN;VADEN;VADEN;AIRE;27,00;$ 166.957,00
HS2730/16.312730A;0;"VENTILADOR 635MM (25"" 9 ASPAS) VOLKSWAGEN 17-210/17-220 /24-220 CON MOTOR CUMMINS 6CT/ MOTOR MWM 6,10";"VENTILADOR 635MM (25"" 9 ASPAS) VOLKSWAGEN 17-210/17-220 /24-220 CON MOTOR CUMMINS 6CT/ MOTOR MWM 6,10";BORGWARNER;BORGWARNER;BORGWARNER VENTILADORES;AIRE;7,00;$ 751.858,00
4710/WI/AF/557;"F4710P-WI-E
4710(REF INCOLBEST)";"BLOQUE TRASERO ESTANDAR PARA Volkswagen 16210-17219-17220 -18310/1 JUEGO TIENE 8 BLOQUES; VENTA MINIMA 1 CAJA QUE TRAE 2 JUEGOS (16 BLOQUES) EL PRECIO DE LISTA ES POR 1 JUEGO";"BLOQUE TRASERO ESTANDAR PARA Volkswagen 16210-17219-17220 -18310/1 JUEGO TIENE 8 BLOQUES; VENTA MINIMA 1 CAJA QUE TRAE 2 JUEGOS (16 BLOQUES) EL PRECIO DE LISTA ES POR 1 JUEGO";FRAS-LE;FRAS-LE;FRAS-LE;FRENO;25,00;NO VTA LIC
79034;0;ARANDELA DIVISOR PLANA Y CON BAJO 44 / 46 LBS;ARANDELA DIVISOR PLANA Y CON BAJO 44 / 46 LBS;SPICER;DANA;DANA;DIFERENCIAL;44,00;$ 91.400,00
A6114;0;PATA SINCRONIZADOR AUX REDN PARA SINCRONIZADOR DEL MONO K2444 APLICACIÓN EN RT6610;PATA SINCRONIZADOR AUX REDN PARA SINCRONIZADOR DEL MONO K2444 APLICACIÓN EN RT6610;FULLER;FULLER;FULLER;TRANSMISION;19,00;$ 0,00
A13900 MAH;0;ANILLOS MOTOR UNICAMENTE MECANICO MWM-4.10TCA JGOX3;ANILLOS MOTOR UNICAMENTE MECANICO MWM-4.10TCA JGOX3;MAHLE;MAHLE;MAHLE;MOTOR;70,00;$ 64.083,00
EX-5053ELG/1810086C1;0;VALVULA DE ESCAPE PARA INTERNATIONAL DT360 (USA 6 X MOTOR) PRECIO POR UNIDAD (VALVULA ADMISION 676687C1);VALVULA DE ESCAPE PARA INTERNATIONAL DT360 (USA 6 X MOTOR) PRECIO POR UNIDAD (VALVULA ADMISION 676687C1);ELGIN;REPARACION CULATA;ELGIN;MOTOR;144,00;$ 29.403,00
CS41044;DONALDSON P550952 / 1922496 / BC7326;FILTRO CENTRIFUGO DE ACEITE PARA DAF CON MOTOR MX13 PACCAR (CARCASA PLASTICA) (UNIDAD DE EMPAQUE X 12 UNIDADES) ;FILTRO CENTRIFUGO DE ACEITE PARA DAF CON MOTOR MX13 PACCAR (CARCASA PLASTICA) (UNIDAD DE EMPAQUE X 12 UNIDADES) ;FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;23,00;$ 217.408,00
1090-09000-01 AV;#N/D;0;#N/D;BORGWARNER;BORGWARNER;BORGWARNER;AIRE;3,00;#N/D
CB1620-STDCLE/7W9415;0;CASQUETE BIELA CAT 3116/3126 ELECTRONICO (JGOX2) (USA 6);CASQUETE BIELA CAT 3116/3126 ELECTRONICO (JGOX2) (USA 6);CLEVITE;MAHLE;CLEVITE;MOTOR;114,00;$ 40.767,00
DRK208TMK;0;KIT RODAMIENTOS PARA DIFERENCIAL PLANA DELANTERA 46,000 LBS SIN RETENEDOR. LO COMPONE (SET665/653TMK, SET281TMK, SET33275/33472TMK, SET1178TMK, SET304TMK, MUB1308UM/126187BOW, MU1309CV FLOT BOWER) COMPAÑERO TRASERO DRK218E;KIT RODAMIENTOS PARA DIFERENCIAL PLANA DELANTERA 46,000 LBS SIN RETENEDOR. LO COMPONE (SET665/653TMK, SET281TMK, SET33275/33472TMK, SET1178TMK, SET304TMK, MUB1308UM/126187BOW, MU1309CV FLOT BOWER) COMPAÑERO TRASERO DRK218E;TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;2,00;$ 2.223.206,00
16866;0;SELLO DE ACEITE;SELLO DE ACEITE;FULLER;FULLER;FULLER;TRANSMISION;156,00;$ 32.905,00
1689785C91;0;"VALVULA FAN CLUTCH EAGLE/7600 
(CON PACHA TIPO PUNTILLA)";"VALVULA FAN CLUTCH EAGLE/7600 
(CON PACHA TIPO PUNTILLA)";INTERNATIONAL;PAI;PAI;MOTOR;13,00;$ 341.012,00
A4740B/396431;#N/D;VALVULA REGULADORA 8709/16918/14918/718/6610;#N/D;FULLER;FULLER;FULLER;TRANSMISION;31,00;#N/D
